Close,Open,High,Low
0.09791699796915054,0.12187500298023224,0.125,0.09635400027036667
0.0864579975605011,0.09843800216913223,0.09895800054073334,0.0854170024394989
0.0854170024394989,0.08802100270986557,0.08854199945926666,0.08124999701976776
0.08177100121974945,0.0864579975605011,0.08749999850988388,0.08177100121974945
0.07135400176048279,0.08177100121974945,0.08229199796915054,0.06875000149011612
0.0697920024394989,0.07187499850988388,0.07239600270986557,0.06562499701976776
0.07500000298023224,0.0703129991889,0.07604199647903442,0.06666699796915054
0.07916700094938278,0.07552099972963333,0.08229199796915054,0.07291699945926666
0.07656300067901611,0.08124999701976776,0.08177100121974945,0.07656300067901611
0.07525999844074249,0.07708299905061722,0.07708299905061722,0.07395800203084946
0.07500000298023224,0.07500000298023224,0.07552099972963333,0.07395800203084946
0.07552099972963333,0.07552099972963333,0.07656300067901611,0.07500000298023224
0.07395800203084946,0.07656300067901611,0.07656300067901611,0.07395800203084946
0.0708329975605011,0.07395800203084946,0.07447899878025055,0.0697920024394989
0.07708299905061722,0.0708329975605011,0.07708299905061722,0.06875000149011612
0.08281300216913223,0.07578100264072418,0.0854170024394989,0.07552099972963333
0.08437500149011612,0.08281300216913223,0.0854170024394989,0.08281300216913223
0.07916700094938278,0.0854170024394989,0.0854170024394989,0.07656300067901611
0.07708299905061722,0.07968799769878387,0.08020800352096558,0.07656300067901611
0.08020800352096558,0.07916700094938278,0.08229199796915054,0.07760400325059891
0.07916700094938278,0.08124999701976776,0.08124999701976776,0.07916700094938278
0.07864599674940109,0.08020800352096558,0.08020800352096558,0.078125
0.07525999844074249,0.07994800060987473,0.07994800060987473,0.07474000006914139
0.07552099972963333,0.07604199647903442,0.07682300359010696,0.07500000298023224
0.07552099972963333,0.07552099972963333,0.07656300067901611,0.07500000298023224
0.07630199939012527,0.07656300067901611,0.07760400325059891,0.07500000298023224
0.07500000298023224,0.07708299905061722,0.07708299905061722,0.07395800203084946
0.07552099972963333,0.07525999844074249,0.07630199939012527,0.07395800203084946
0.07552099972963333,0.07630199939012527,0.07630199939012527,0.07447899878025055
0.07552099972963333,0.07604199647903442,0.07604199647903442,0.07525999844074249
0.07447899878025055,0.07578100264072418,0.07578100264072418,0.07395800203084946
0.07708299905061722,0.07552099972963333,0.07994800060987473,0.07395800203084946
0.07578100264072418,0.07708299905061722,0.07708299905061722,0.07552099972963333
0.07942699640989304,0.07578100264072418,0.07968799769878387,0.07552099972963333
0.09557300060987473,0.07994800060987473,0.09583300352096558,0.07968799769878387
0.10000000149011612,0.09166699647903442,0.1010420024394989,0.09166699647903442
0.11510399729013443,0.1020829975605011,0.1166670024394989,0.1020829975605011
0.11614599823951721,0.11510399729013443,0.11927100270986557,0.11354199796915054
0.12812499701976776,0.1166670024394989,0.12864600121974945,0.1166670024394989
0.11458300054073334,0.12604199349880219,0.12604199349880219,0.11041700094938278
0.10677099972963333,0.11614599823951721,0.1166670024394989,0.10572899878025055
0.12187500298023224,0.10677099972963333,0.12395799905061722,0.10677099972963333
0.1166670024394989,0.12239599972963333,0.12473999708890915,0.11510399729013443
0.11093799769878387,0.1171879991889,0.1171879991889,0.10781300067901611
0.10781300067901611,0.109375,0.11093799769878387,0.10781300067901611
0.10911499708890915,0.10885400325059891,0.10989599674940109,0.10729199647903442
0.10677099972963333,0.10833299905061722,0.109375,0.10312499850988388
0.11458300054073334,0.109375,0.1166670024394989,0.10885400325059891
0.11302100121974945,0.11510399729013443,0.11562500149011612,0.11093799769878387
0.11145800352096558,0.11093799769878387,0.11249999701976776,0.11093799769878387
0.11614599823951721,0.11145800352096558,0.11979199945926666,0.11093799769878387
0.12395799905061722,0.11822900176048279,0.125,0.1166670024394989
0.12239599972963333,0.125,0.12525999546051025,0.12135399878025055
0.11979199945926666,0.12187500298023224,0.12187500298023224,0.1166670024394989
0.12083300203084946,0.1171879991889,0.12083300203084946,0.11249999701976776
0.11562500149011612,0.11874999850988388,0.1205729991197586,0.11510399729013443
0.11041700094938278,0.1166670024394989,0.1166670024394989,0.10729199647903442
0.11249999701976776,0.11041700094938278,0.11562500149011612,0.109375
0.10885400325059891,0.11249999701976776,0.11302100121974945,0.10625000298023224
0.11458300054073334,0.10833299905061722,0.11510399729013443,0.10520800203084946
0.11640600115060806,0.11458300054073334,0.1166670024394989,0.11249999701976776
0.10989599674940109,0.11406300216913223,0.11510399729013443,0.10989599674940109
0.10989599674940109,0.11145800352096558,0.11145800352096558,0.10833299905061722
0.10781300067901611,0.10885400325059891,0.11249999701976776,0.10599000006914139
0.10572899878025055,0.10677099972963333,0.10781300067901611,0.09687499701976776
0.1020829975605011,0.10260400176048279,0.10260400176048279,0.09843800216913223
0.10833299905061722,0.10468800365924835,0.11041700094938278,0.10260400176048279
0.10833299905061722,0.109375,0.109375,0.10364600270986557
0.10572899878025055,0.10677099972963333,0.10859400033950806,0.10364600270986557
0.10625000298023224,0.10520800203084946,0.10625000298023224,0.10468800365924835
0.11093799769878387,0.10520800203084946,0.11302100121974945,0.10520800203084946
0.1171879991889,0.11197900027036667,0.1177079975605011,0.11145800352096558
0.11588499695062637,0.11536499857902527,0.11614599823951721,0.11249999701976776
0.11874999850988388,0.11510399729013443,0.11979199945926666,0.11406300216913223
0.11692699790000916,0.11822900176048279,0.11874999850988388,0.11614599823951721
0.1177079975605011,0.1171879991889,0.11874999850988388,0.1166670024394989
0.1166670024394989,0.1171879991889,0.12083300203084946,0.11562500149011612
0.12760399281978607,0.11822900176048279,0.12760399281978607,0.1171879991889
0.125,0.12916700541973114,0.1333329975605011,0.12291699647903442
